NodeID,ParentID,x,y,z,thickness
12420,12299,-0.32595,0.871358,0.0101818,0.00282843
141,139,-0.159094,0.985076,0.142211,0.0142829
4889,139,-0.159094,0.985076,0.142211,0.0072111
437,421,-0.201716,1.00413,-0.129092,0.00894427
13896,13757,-0.208538,0.997199,-0.0956708,0.002
5302,5301,-0.242622,0.972302,-0.129923,0.002
469,456,-0.0564585,0.981215,0.210178,0.0103923
1392,456,-0.0564585,0.981215,0.210178,0.00489898
12911,12910,-0.0368981,0.973188,0.156562,0.004
209,204,-0.283093,0.982564,-0.134168,0.0193907
353,340,-0.41415,0.881063,-0.0868841,0.0134164
663,340,-0.41415,0.881063,-0.0868841,0.008
405,393,-0.373987,0.890476,-0.0771271,0.00894427
738,716,-0.396807,0.884198,-0.0819672,0.006
442,430,-0.359709,0.813241,-0.185518,0.00938083
420,406,-0.152601,0.921289,-0.329418,0.0072111
1995,406,-0.152601,0.921289,-0.329418,0.00663325
1726,1710,-0.109807,0.872911,-0.364965,0.0052915
14300,14299,-0.203034,0.918549,-0.19574,0.002
14157,14027,-0.372663,0.833743,-0.231678,0.002
146,142,-0.158361,0.847764,-0.433285,0.0146969
628,142,-0.158361,0.847764,-0.433285,0.00632456
294,285,-0.089983,0.838427,-0.423033,0.0185472
20983,285,-0.089983,0.838427,-0.423033,0.002
335,324,-0.226866,0.791178,-0.402302,0.008
222,218,-0.239367,0.801423,-0.41226,0.0111355
517,218,-0.239367,0.801423,-0.41226,0.00632456
288,279,-0.296082,0.638089,-0.301059,0.0116619
775,746,-0.269315,0.672526,-0.269545,0.00282843
885,874,-0.277134,0.699004,-0.346955,0.00824621
386,372,0.163231,0.803143,-0.410846,0.0134164
601,372,0.163231,0.803143,-0.410846,0.00565685
2214,2187,0.14633,0.816879,-0.380049,0.00848528
8288,8287,0.228143,0.802261,-0.292269,0.00282843
37,36,-0.279681,1.03059,-0.0215528,0.0307896
8594,8501,-0.248966,1.00495,0.0186776,0.00282843
20542,20541,-0.317742,0.968886,-0.0310306,0.002
851,828,-0.36157,0.922251,-0.108199,0.006
12421,12420,-0.343658,0.891232,0.0240191,0.00282843
145,141,-0.161757,1.01248,0.154135,0.0142829
4925,4889,-0.161553,1.01121,0.127686,0.0072111
450,437,-0.204391,1.03126,-0.141607,0.00894427
13897,13896,-0.220682,1.01702,-0.0767098,0.002
5356,5302,-0.265966,0.984023,-0.144677,0.002
484,469,-0.0586041,1.00956,0.219764,0.0103923
1423,1392,-0.0482915,1.00147,0.189606,0.00489898
